Attribute,Frequency
left post-obstructive pneumonia,1
w/pelvis,1
"the left lung
 parenchyma",1
l hip,1
"metastatic
 nonsmall cell lung cancer",1
soft tissue injury,1
102815,1
"bilateral femoral
 head contours",1
nonspecific soft tissue calcification projects,1
t4 fracture,1
bilateral sacroiliac joint spaces,1
these pelvic and hip radiographs,1
nonspecific soft tissue calcification,1
"dystrophic
 calcification",1
the regional fat,1
"non small
  cell lung cancer",1
a new t4 pathologic fracture,1
further evalu,1
"



                                                                       ",1
hilar lymphadenopathy measures,1
the right parietotemporal region,1
early termination,1
moderate/severe brain atrophy,1
"bilateral hilar
 lymphadenopathy",1
"the left sphenoid
 air cell",1
862,1
8:28 pm,1
no known brain mets,1
"svc
 stent",1
"neck
 no contraindications",1
w/ seizure,1
met disease,1
"right
 basal plueral effusion",1
the thoracic spine alignment,1
please also eval veins,1
"acute minor or major
 vascular territorial infarct",1
known r opacity,1
aerated right lower lobe,1
102812,1
"old
 right temporal lobe infarct",1
[**1-21**] and mr cervical spine,1
"no flair
 images",1
"several
 ethmoid air cells",1
"rms endobronchial mass
 reason",1
large mass or acute infarct,1
"sagittal t1, t2 and inversion recovery and axial t2 images",1
"7:16 pm
  small left pleural effusion",1
"otherwise, no
  change",1
"heterogeneously enhanced and
 measures",1
possible vertebroplasty,1
"2-3**]--9:30pm
 _",1
centrilobular emphysematous disease,1
this neck,1
the right subclavian stented region,1
metallic skin staples,1
"tumor debridement and
 balloon dilatation",1
basal and apical components,1
"the left lower lobe pulmonary
 vascularity",1
"rapidly
 worsening consolidation",1
subsequent chest radiographs,1
stable right hydropneumothorax,1
102814,1
probable mild asymmetric interstitial edema,1
debridemnt,1
"[**2197-12-24**].

 technique",1
"no suspicious
 lytic or sclerotic foci",1
"[**1-22**])
 no contraindications",1
"pulmonary
  embolism",1
baloon,1
89872,1
"other intraabd pathology
 no contraindications",1
"ogt
 reason",1
metastatic lesion mri,1
"the
 major airways",1
"early
 pseudocysts",1
prominent appearing pancreas,1
"a right-
 sided port-a-cath",1
there are scattered prostatic calcifications,1
"squamous cell cancer s/p ip procedure
 reason",1
"the hilar and
 mediastinal regions",1
the largest right hilar lymph node measures,1
"several ill-defined nodular
 densities",1
status post procedure,1
"this patient's postoperative
 radiographs",1
"diffuse
 peripancreatic edema",1
a constant feature,1
69956,1
the apical part,1
72 year old woman post bronchoscopy,1
tumor debridemnt,1
this right hilar mass,1
70059,1
least 44 x 33 mm,1
baloon dilation,1
"[**2163-1-30**] 12:04 pm
 chest",1
3.  8 mm segment,1
"confluent
 mass",1
37 x 23 mm,1
a confluent mass,1
"12:44

 indication",1
"a pretracheal lymph node
 measures",1
69926,1
"*] 8:03 am
 chest",1
repeat dedicated ct,1
the previously described findings,1
"multiple liver
 lesions",1
p post crani,1
no loaclized collections,1
supradiaphragmatic position,1
"the rms
 reason",1
"right-sided
 lung",1
significant mediastinal and hilar lymphadenopathy,1
new parenchymal,1
"left-sided
 hemithorax",1
latest one day interval,1
"all
 vessels",1
unchanged extensive pleural apical and basal thickening,1
a peribronchovascular distribution,1
left adrenal metastasis,1
"the left, known extensive consolidation",1
"a mild small airways
 infectious process",1
early necrosis,1
early pseudocysts,1
status post c1-2 posterior fusion,1
the right lower lung portions,1
"[**2189-6-30**] 11:41 pm
 chest",1
11:53 p.m.,1
infrarenal ivc filter,1
permeative metastatic disease,1
"a right upper lobe
 mass",1
7.  increased size,1
"8:54 pm
  endogastric tube",1
a new small/moderate left-sided pleural effusion,1
other scattered tiny nodular densities,1
a 5 x 12 cm homogeneous opacity,1
plugged,1
lobulated margins,1
migrating picc,1
the lung interface,1
associated segmental collapse,1
"[**2135-6-24**].

 comparison",1
a persistently elevated left hemidiaphragm,1
19635,1
several cm,1
"1:46 pm
 picc",1
c old picc line,1
"antibio
 admitting diagnosis",1
"[**2189-6-30**].

 findings",1
principal intracranial flow voids,1
extensive parenchymal opacity,1
"a diffuse permeative metastatic
 disease pattern",1
"the gallbladder, spleen, bilateral adrenals glands",1
"high
 suspicion",1
a new 8 mm hypodensity,1
"diffuse peripancreatic
 fluid",1
"an ill
 defined linear opacity",1
the previously noted hypodensity,1
6cm,1
the known left pleural effusion,1
the subsequent left retrocardiac atelectasis,1
no other definite liver lesions,1
102817,1
no hemorrhage or abnormal area,1
an infrarenal position,1
"large soft tissue
 metastatic lesion",1
a peribronchovascular pattern,1
anterolateral left t7 rib,1
"[**2166-7-28**] 6:17 pm
 chest",1
"[**2166-7-28**] 10:27 pm
  right lung opacification",1
2.  linear/nodular density,1
"a
  combination",1
rul volume loss,1
"[**2166-7-23**].

 findings",1
new heterogeneous opacity,1
right lower lung new heterogeneous opacity,1
102813,1
no abnormal area,1
the right anterior upper lobe,1
102.3,1
the exact estimation,1
"extensive right subcutaneous
 emphysema",1
"moderate sized
 right pneumothorax",1
the right intrathoracic detail,1
69927,1
the aerated left lung,1
a single lymph node meeting ct criteria,1
another pulmonary nodule,1
11mm,1
further improvement,1
1 mg tpa/10 ml normal saline,1
"[**2163-2-3**] 9:30 pm
 chest",1
104117,1
"8:49 a.m.

 chest",1
"the right
 chest wall limits evaluation",1
"no paracardial
 effusion",1
a bilobed pulmonary nodule,1
a concentration,1
right paratracheal lymphadenopathy,1
"the moderate
 right hydropneumothorax",1
"a
 46-year-old man status post right middle lobe",1
"two
 pulmonary nodules",1
"pulmonary
 artery",1
"unknown
 hemodynamic significance",1
"the right-side
 pneumothorax",1
the low part,1
"(cont)
 cardiac musculature",1
the postsurgical chain sutures,1
the right-side pneumothorax,1
the posterior fossa and extra-axial csf spaces,1
69823,1
"] 8:17 am
 chest",1
possible developing airspace disease,1
stable right basilar ptx,1
known anemia,1
steri strips,1
"the right-sided intrathoracic
 detail",1
"the posterior costophrenic
 sulcus",1
the moderate right hydropneumothorax,1
extensive paraseptal,1
breath and lower extremity edema,1
similar narrowing,1
unchanged moderate right hydropneumothorax,1
24719,1
lung cancer originating,1
abrupt occlusion,1
new acute pathologic compression fracture,1
bronchus encasement,1
a 2-o silk,1
increased number,1
subsequent followup studies,1
no other lytic lesions,1
a moderate nonhemorrhagic,1
"[**2163-1-29**] 4:19 pm
 chest",1
"recent lobectomy surgery - check ptx.

 comparison",1
the right chest catheter,1
0.5 mg tpa,1
bilateral hilar and mediastinal lymphadenopathy,1
"an
 infusion",1
a persistent lower component pneumothorax,1
a bit more patchiness,1
"the vertebral body
 fragments",1
negative ultrasound,1
the unit,1
a single lead pacer,1
"the suprajacent posterior
 soft tissues",1
102818,1
the right upper lobe segmental bronchus,1
right base pneumothorax,1
3.6 x 2.6 cm,1
some calcified granulomas,1
69827,1
a subpleural location,1
"a 5-mm
 hypodense lesion",1
"[**2163-1-27**] 1:20 pm
 chest",1
s/p rml/rllobectomy s/p ctx3,1
"8:36 a.m.

 findings",1
"the right posterior
 costophrenic sulcus",1
pericardial lymph node,1
"extensive centrilobular and paraseptal
 emphysematous change",1
stable small air collection,1
post-surgical findings,1
a linear scar,1
extrinsic or intrinsic disease,1
69825,1
bronchal,1
"right
 lower lobe lobectomy",1
"right middle
 and right lower lobe",1
associates,1
10:15 p.m.,1
400b:22,1
both the left ventricle,1
"no pathologically enlarged
 axillary lymph nodes",1
"[**2166-8-1**] 2:43 pm
 chest port",1
"[**2151-8-12**] 6:42 pm
 portable abdomen                                                clip #",1
the previous ct examination,1
103918,1
"an
 air leak",1
the persistent moderate-sized right pleural space,1
"[**2163-1-25**] 8:41 am




               radline",1
an obstructing parenchymal perihilar mass,1
the prior radiograph ct scan,1
"basal and apical
 component",1
still air,1
"right pleural
 tubes",1
mediastinum shift,1
70019,1
"the
 resection margin",1
"no
 pathologically enlarged axillary lymph nodes",1
ischemia r/o mi,1
diaphragmatic attenuation,1
58%,1
"ventricular cavity
 size and systolic function",1
left perihilar region,1
mild right base atelectasis,1
"right lung
 opacification",1
no superimposed pneumonia,1
69783,1
previous measurements,1
"[**2163-1-29**] 7:17 am
 chest",1
4.1 x 3 cm,1
bedside portable ap chest,1
"8:08 a.m.

 comparison",1
pericardial lymph node measures,1
"new
 nodular densities",1
"[**2163-1-28**].

 findings",1
"the
 previous measurements",1
the right base pleural space,1
"the crossing
 point",1
"10:46 a.m.

 chest",1
1.6 x,1
a left hilar opacity,1
"none.

 pa",1
"tls spine injury
 no contraindications",1
"now status post
 motor vehicle collision",1
a wedge deformity,1
1)  abnormal position,1
"associated cortical
 defects",1
an acute wedge fracture,1
"the right upper
 lobe consolidation",1
the t12 ring,1
the bilateral pulmonary edema,1
no definite metastatic lesions,1
the thoracic vertebral body heights,1
"the thoracic
 disc spaces",1
"axial
 t1, axial flair",1
the remaining right visualized lung,1
mild endplate sclerotic change,1
"[**2151-8-12**].

 technique",1
"the
 neural foramina",1
a 1.5-cm lytic lesion,1
"*]-
 apical consolidation",1
the upper field,1
t12 ring,1
"the
 internal jugular vein",1
"no
 definite metastatic lesions",1
its distal part,1
previous infectious process,1
"chest pain, sob, cough
 reason",1
2.  1.5-cm lytic focus,1
106680,1
3)  improved pulmonary edema,1
"numerous supra- and infratentorial enhancing
 lesions",1
the largest supratentorial lesion,1
the left ica,1
basal artery thrombosis,1
right mca stroke,1
t2 shine-through,1
right mca infarct,1
extra line,1
document tip placement,1
"ij
 reason",1
"both
 cerebellar region",1
some adjacent chain sutures,1
"1:53 pm
 picc",1
"its distal most
 course",1
"2103-3-2**] 2:58 am
 chest",1
the small size acute infarcts,1
the supraclinoid portion indicatinve,1
"[**2184-5-22**] 10:14 am
 ct t-spine w/o contrast                                         clip #",1
new leak,1
reposition catheter,1
apparent volume loss,1
a single additional vein,1
"intrinsic
 atherosclerotic disease",1
the remaining arteries,1
two left brachial arteries,1
"a prior right
 upper lobectomy",1
"the lateral
 chest",1
adcs,1
demonished,1
indicatinve,1
49563,1
first [**hospital1 80**] cxr,1
the right picc line position,1
56 cm,1
"[**2169-3-15**].

 findings",1
possible pleural leak,1
"subtle
 equivocal hypodensity",1
left temporal lobe,1
"no new
 skull fractures",1
"the right lateral
 2nd rib",1
the clinical finding,1
the left lateral image,1
pneumothorax and pigtail catheter,1
"prior outside
 reference ct scan",1
"the left axillary and basilic
 vein",1
the left caudate,1
somewhat hyperdense,1
"intrinsic t1 hyperintensity limits
  evaluation",1
1.2 x 0.8 cm calcified oval- shaped region,1
2. 1.2 cm calcified round lesion,1
"the
 cavernous sinus",1
the left axillary and basilic veins,1
"mesencephalic
  cistern",1
mucous retention cyst,1
103926,1
2526,1
bilateral maxillary and ethmoid sinuses,1
3.  1.2 cm calcified round lesion,1
5.  mucous retention cyst,1
a neurology resident,1
2527,1
"left
  cerebellar mass",1
match,1
51-year-old man status post motor vehicle accident,1
3:24 a.m.,1
jrke,1
"[**2169-3-31**] 12:18 pm
 chest port",1
101756,1
4385,1
18:25,1
"their
 position",1
"the most recent prior
  examination",1
this spine,1
]-apical consolidation,1
the lung disease,1
64m,1
99215,1
2.  slow diffusion,1
"[**2141-9-5**] 2:56 pm




               radline",1
sl picc,1
"[**2155-6-13**]

 history",1
right lateral 2nd rib,1
82164,1
"the
 mid-cervical spine",1
55478,1
three left brachial veins,1
"a
 non-occlusive thrombus",1
51 year old man s/p mva,1
49562,1
"sided weakness
 reason",1
basilar skull,1
likely degenerative changes,1
[**2184-5-21**] 11:51 pm,1
"artifact or residual
  contrast",1
"blood
  products",1
"additional steri-
 strips",1
basilar artery clot,1
"right subclavian
 central venous catheter tip",1
"the left frontal lobe
 measures",1
venous contamination,1
new diagnosis lung,1
the small volume,1
the right carotids,1
49561,1
3.  opacity,1
"et
 tube exchange",1
103986,1
a somewhat tortuous appearance,1
"lower flow
 signal",1
"*] 11:25 pm
 cta chest w&w/o c",1
vague opacity,1
"the
 left carotid bifurcation",1
metallic fiducial markers,1
ateelctasis/consolidation/efffusion,1
linearv atelactases,1
"intrinsic t1 hyperintensity limits
 evaluation",1
"expected
 post operative change",1
"mesencephalic
 cistern",1
"the
 irregualr opacity",1
"left
 cerebellar mass",1
"(cont)
 sinuses",1
somewhat tortuous but normal vertebrals,1
"right internal
 carotid arteries",1
"no pneumothorax or
 complications",1
significant scoliosis,1
deminished flow signal caliber,1
left carotid,1
interval slight reduction,1
pain/hemoptysis,1
gadolinium-enhanced mra,1
gadolinium mra,1
"the right
 hilus and adjacent mediastinum",1
10:36 pm,1
pelvic radiograph,1
overlying trauma board artifact,1
a portable upright ap view,1
ateelctasis,1
"increased
 vascular markings",1
trauma board artifact,1
atelactases,1
linearv,1
the medial mid and lower right hemithorax,1
"two lung cancer
 metastatic lesions",1
no gross diastasis,1
"right
 hilar lung cancer",1
no gross fracture,1
66-year-old female status post craniectomy,1
"faint
 pleural opacity",1
103919,1
infect,1
82160,1
"now s/p ett exchange
 reason",1
mra neck w&w/o contrast,1
"[**2184-5-22**] 7:53 pm
 mra neck w&w/o contrast",1
"carotid sissection
 admitting diagnosis",1
incomplete resection,1
carotid sissection,1
"r/o incomplete resection
 no contraindications",1
"carotid
 dissection",1
the heterogeneous consistency,1
acute dissection,1
the fat-suppressed axial images,1
82166,1
82165,1
the sacroiliac joint,1
significant destruction,1
"the
 sacrum",1
11002,1
7670,1
the abdominal aorta and iliac arteries,1
"the regional soft
 tissues",1
5060,1
multiple destructive lytic lesions,1
10:50 am,1
"the largest
 left cerebellar lesion",1
49564,1
left upper extremity swelling,1
a duplicated left brachial artery,1
98592,1
the left posterior ethmoidal cell,1
7:55 pm,1
"18:23

 clinical indication",1
bearing,1
"secondary post-
 obstructive pneumonia",1
"irregular peripheral
 enhancement",1
ilii,1
x 23 mm cc,1
"the patient's
 known left hilar mass",1
"[**2184-5-22**] 1:20 am
 mr head w/o contrast",1
x 18mm transverse,1
21mm,1
successful reposition,1
"the right
 ilium",1
the bilateral iliac bones,1
a pa and lateral chest radiographs,1
status post cranioplasty,1
"otherwise, unchanged chest radiograph",1
vertebrals,1
103923,1
single portable semi-upright radiograph,1
"[**2151-8-15**] 1:16 pm
 unilat up ext veins us left                                     clip #",1
